season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
summer,Friday,6,Mnquma,0.0,tap inside house,Asbestos,Plaster,20.0,55.0,6.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Saturday,4,Mnquma,0.0,tap inside house,Asbestos,Plaster,20.0,55.0,6.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Sunday,2,Mnquma,0.0,tap inside house,Asbestos,Plaster,20.0,55.0,6.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,weekday,6,Mnquma,0.0,tap inside house,Asbestos,Plaster,20.0,55.0,6.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,Saturday,2,Mnquma,0.0,tap inside house,Asbestos,Plaster,20.0,55.0,6.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Friday,2,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,Saturday,3,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,weekday,5,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
winter,Friday,3,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
winter,Saturday,2,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
winter,Sunday,2,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
winter,weekday,4,Mnquma,2840.909090909091,tap in yard,Asbestos,Blocks,20.0,53.0,2.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
winter,Saturday,3,Mnquma,2272.7272727272725,tap inside house,Asbestos,Plaster,20.0,53.0,1.0,1,0,0,1,0,1,0,0,0,1,0,never,never,never,daily,never,daily,never,never,never,never,31
winter,Sunday,2,Mnquma,2272.7272727272725,tap inside house,Asbestos,Plaster,20.0,53.0,1.0,1,0,0,1,0,1,0,0,0,1,0,never,never,never,daily,never,daily,never,never,never,never,31
winter,weekday,2,Mnquma,2272.7272727272725,tap inside house,Asbestos,Plaster,20.0,53.0,1.0,1,0,0,1,0,1,0,0,0,1,0,never,never,never,daily,never,daily,never,never,never,never,31
summer,Saturday,2,Mnquma,34090.90909090909,tap inside house,Concrete,Plaster,20.0,209.0,13.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,31
winter,Friday,3,Mnquma,34090.90909090909,tap inside house,Concrete,Plaster,20.0,209.0,13.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,31
summer,Friday,4,Mnquma,10227.272727272728,tap inside house,Tiles,Plaster,20.0,87.0,14.0,1,1,0,0,1,1,1,0,1,0,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,31
summer,Saturday,2,Mnquma,10227.272727272728,tap inside house,Tiles,Plaster,20.0,87.0,14.0,1,1,0,0,1,1,1,0,1,0,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,31
