season,daytype,monthly_income,water_access,wall_material,floor_area
summer,Friday,0.0,tap inside house,Plaster,55.0
summer,Saturday,0.0,tap inside house,Plaster,55.0
summer,Sunday,0.0,tap inside house,Plaster,55.0
summer,weekday,0.0,tap inside house,Plaster,55.0
winter,Saturday,0.0,tap inside house,Plaster,55.0
summer,Friday,2840.909090909091,tap in yard,Blocks,53.0
summer,Saturday,2840.909090909091,tap in yard,Blocks,53.0
summer,weekday,2840.909090909091,tap in yard,Blocks,53.0
winter,Friday,2840.909090909091,tap in yard,Blocks,53.0
winter,Saturday,2840.909090909091,tap in yard,Blocks,53.0
winter,Sunday,2840.909090909091,tap in yard,Blocks,53.0
winter,weekday,2840.909090909091,tap in yard,Blocks,53.0
winter,Saturday,2272.7272727272725,tap inside house,Plaster,53.0
winter,Sunday,2272.7272727272725,tap inside house,Plaster,53.0
winter,weekday,2272.7272727272725,tap inside house,Plaster,53.0
summer,Saturday,34090.90909090909,tap inside house,Plaster,209.0
winter,Friday,34090.90909090909,tap inside house,Plaster,209.0
summer,Friday,10227.272727272728,tap inside house,Plaster,87.0
summer,Saturday,10227.272727272728,tap inside house,Plaster,87.0
summer,Sunday,10227.272727272728,tap inside house,Plaster,87.0
summer,weekday,10227.272727272728,tap inside house,Plaster,87.0
winter,Friday,10227.272727272728,tap inside house,Plaster,87.0
winter,weekday,10227.272727272728,tap inside house,Plaster,87.0
summer,Friday,13636.363636363636,tap inside house,Plaster,106.0
summer,Friday,7954.545454545455,tap inside house,Plaster,53.0
winter,weekday,7954.545454545455,tap inside house,Plaster,53.0
summer,Saturday,28409.090909090908,tap inside house,Plaster,53.0
summer,weekday,28409.090909090908,tap inside house,Plaster,53.0
summer,Friday,2840.909090909091,tap in yard,Plaster,53.0
summer,weekday,2840.909090909091,tap in yard,Plaster,53.0
summer,Friday,6818.181818181818,tap inside house,Plaster,53.0
summer,Saturday,6818.181818181818,tap inside house,Plaster,53.0
summer,weekday,6818.181818181818,tap inside house,Plaster,53.0
winter,Friday,6818.181818181818,tap inside house,Plaster,53.0
winter,Saturday,6818.181818181818,tap inside house,Plaster,53.0
winter,Sunday,6818.181818181818,tap inside house,Plaster,53.0
winter,weekday,6818.181818181818,tap inside house,Plaster,53.0
summer,Friday,9090.90909090909,tap inside house,Plaster,53.0
summer,Saturday,9090.90909090909,tap inside house,Plaster,53.0
summer,weekday,9090.90909090909,tap inside house,Plaster,53.0
winter,Friday,9090.90909090909,tap inside house,Plaster,53.0
winter,Saturday,9090.90909090909,tap inside house,Plaster,53.0
winter,weekday,9090.90909090909,tap inside house,Plaster,53.0
summer,Friday,11363.636363636364,tap inside house,Plaster,54.0
summer,Saturday,11363.636363636364,tap inside house,Plaster,54.0
summer,Sunday,11363.636363636364,tap inside house,Plaster,54.0
summer,weekday,11363.636363636364,tap inside house,Plaster,54.0
winter,Friday,11363.636363636364,tap inside house,Plaster,54.0
winter,Saturday,11363.636363636364,tap inside house,Plaster,54.0
winter,Sunday,11363.636363636364,tap inside house,Plaster,54.0
winter,weekday,11363.636363636364,tap inside house,Plaster,54.0
winter,weekday,41306.81818181818,tap inside house,Plaster,133.0
summer,weekday,0.0,tap in yard,Brick,93.0
summer,weekday,0.0,tap in yard,Blocks,44.0
summer,weekday,1534.090909090909,tap in yard,IBR/Corr.Iron/Zinc,29.0
summer,weekday,795.4545454545455,tap in yard,Blocks,75.0
summer,Friday,1500.0,tap in yard,IBR/Corr.Iron/Zinc,14.0
summer,Saturday,1500.0,tap in yard,IBR/Corr.Iron/Zinc,14.0
summer,weekday,1500.0,tap in yard,IBR/Corr.Iron/Zinc,14.0
summer,weekday,3068.181818181818,tap in yard,Plaster,118.0
summer,weekday,3068.181818181818,tap in yard,Concrete,234.0
winter,weekday,3068.181818181818,tap in yard,Concrete,234.0
summer,Friday,15170.454545454546,tap in yard,Plaster,109.0
summer,Saturday,15170.454545454546,tap in yard,Plaster,109.0
summer,Sunday,15170.454545454546,tap in yard,Plaster,109.0
summer,weekday,15170.454545454546,tap in yard,Plaster,109.0
summer,Friday,6477.272727272727,tap in yard,Plaster,236.0
summer,Saturday,6477.272727272727,tap in yard,Plaster,236.0
summer,Sunday,6477.272727272727,tap in yard,Plaster,236.0
summer,weekday,6477.272727272727,tap in yard,Plaster,236.0
summer,Friday,0.0,tap in yard,Blocks,40.0
summer,Sunday,0.0,tap in yard,Blocks,40.0
summer,weekday,0.0,tap in yard,Blocks,40.0
summer,weekday,7784.090909090909,tap in yard,Plaster,50.0
summer,Friday,10625.0,tap inside house,Plaster,118.0
summer,Saturday,10625.0,tap inside house,Plaster,118.0
summer,Sunday,10625.0,tap inside house,Plaster,118.0
summer,weekday,10625.0,tap inside house,Plaster,118.0
winter,Friday,10625.0,tap inside house,Plaster,118.0
winter,Saturday,10625.0,tap inside house,Plaster,118.0
winter,Sunday,10625.0,tap inside house,Plaster,118.0
winter,weekday,10625.0,tap inside house,Plaster,118.0
summer,Friday,4943.181818181818,tap in yard,Plaster,80.0
summer,weekday,4943.181818181818,tap in yard,Plaster,80.0
summer,Friday,2272.7272727272725,tap in yard,Plaster,75.0
summer,Saturday,11761.363636363636,tap in yard,Plaster,226.0
summer,Sunday,11761.363636363636,tap in yard,Plaster,226.0
summer,weekday,11761.363636363636,tap in yard,Plaster,226.0
summer,Saturday,3181.818181818182,tap inside house,Plaster,273.0
summer,Friday,0.0,tap in yard,Plaster,77.0
summer,Saturday,0.0,tap in yard,Plaster,77.0
summer,weekday,0.0,tap in yard,Plaster,77.0
winter,Saturday,681.8181818181819,tap in yard,Plaster,106.0
summer,Friday,0.0,tap in yard,Blocks,113.0
summer,Saturday,0.0,tap in yard,Blocks,113.0
summer,Sunday,0.0,tap in yard,Blocks,113.0
summer,weekday,0.0,tap in yard,Blocks,113.0
winter,Friday,0.0,tap in yard,Blocks,113.0
winter,Sunday,0.0,tap in yard,Blocks,113.0
winter,weekday,0.0,tap in yard,Blocks,113.0
summer,Friday,1534.090909090909,tap in yard,Plaster,62.0
summer,Sunday,1534.090909090909,tap in yard,Plaster,62.0
summer,weekday,1534.090909090909,tap in yard,Plaster,62.0
summer,Friday,28409.090909090908,tap inside house,Brick,287.0
summer,Sunday,28409.090909090908,tap inside house,Brick,287.0
summer,weekday,28409.090909090908,tap inside house,Brick,287.0
summer,weekday,1534.090909090909,tap in yard,Plaster,191.0
summer,Friday,3409.090909090909,tap inside house,Plaster,126.0
summer,Saturday,3409.090909090909,tap inside house,Plaster,126.0
summer,weekday,3409.090909090909,tap inside house,Plaster,126.0
summer,weekday,4545.454545454545,tap inside house,Plaster,22.0
summer,Friday,11363.636363636364,tap inside house,Brick,171.0
summer,weekday,11363.636363636364,tap inside house,Brick,171.0
summer,Friday,2159.090909090909,tap in yard,Plaster,53.0
summer,Saturday,2159.090909090909,tap in yard,Plaster,53.0
summer,weekday,2159.090909090909,tap in yard,Plaster,53.0
winter,Saturday,2159.090909090909,tap in yard,Plaster,53.0
summer,Friday,15909.090909090908,tap in yard,Plaster,42.0
summer,Saturday,15909.090909090908,tap in yard,Plaster,42.0
summer,weekday,15909.090909090908,tap in yard,Plaster,42.0
summer,Friday,0.0,tap in yard,Plaster,29.0
summer,Saturday,0.0,tap in yard,Plaster,29.0
summer,Sunday,0.0,tap in yard,Plaster,29.0
summer,weekday,0.0,tap in yard,Plaster,29.0
summer,Saturday,3806.818181818182,tap in yard,Plaster,41.0
summer,weekday,3806.818181818182,tap in yard,Plaster,41.0
summer,Saturday,2272.7272727272725,tap inside house,Plaster,43.0
winter,Friday,2272.7272727272725,tap inside house,Plaster,43.0
winter,weekday,2272.7272727272725,tap inside house,Plaster,43.0
summer,Friday,3068.181818181818,tap inside house,Plaster,96.0
summer,Saturday,3068.181818181818,tap inside house,Plaster,96.0
summer,Sunday,3068.181818181818,tap inside house,Plaster,96.0
summer,weekday,3068.181818181818,tap inside house,Plaster,96.0
winter,Friday,3068.181818181818,tap inside house,Plaster,96.0
winter,Saturday,3068.181818181818,tap inside house,Plaster,96.0
summer,Saturday,1534.090909090909,tap in yard,Plaster,44.0
summer,weekday,1534.090909090909,tap in yard,Plaster,44.0
winter,Saturday,1534.090909090909,tap in yard,Plaster,44.0
summer,Friday,1534.090909090909,tap in yard,Plaster,53.0
summer,weekday,1534.090909090909,tap in yard,Plaster,53.0
summer,Sunday,3409.090909090909,tap in yard,Plaster,90.0
summer,weekday,3409.090909090909,tap in yard,Plaster,90.0
winter,Saturday,0.0,tap in yard,Plaster,42.0
winter,Sunday,0.0,tap in yard,Plaster,42.0
summer,Friday,10625.0,tap inside house,Plaster,76.0
summer,Saturday,10625.0,tap inside house,Plaster,76.0
summer,Sunday,10625.0,tap inside house,Plaster,76.0
summer,weekday,10625.0,tap inside house,Plaster,76.0
winter,Friday,10625.0,tap inside house,Plaster,76.0
winter,weekday,10625.0,tap inside house,Plaster,76.0
summer,Friday,18579.545454545456,tap inside house,Brick,290.0
summer,Saturday,18579.545454545456,tap inside house,Brick,290.0
summer,Sunday,18579.545454545456,tap inside house,Brick,290.0
summer,weekday,18579.545454545456,tap inside house,Brick,290.0
winter,Friday,18579.545454545456,tap inside house,Brick,290.0
winter,weekday,18579.545454545456,tap inside house,Brick,290.0
summer,Friday,13636.363636363636,tap inside house,Plaster,89.0
summer,Saturday,13636.363636363636,tap inside house,Plaster,89.0
summer,Sunday,13636.363636363636,tap inside house,Plaster,89.0
summer,weekday,13636.363636363636,tap inside house,Plaster,89.0
winter,weekday,13636.363636363636,tap inside house,Plaster,89.0
summer,weekday,454.54545454545456,tap inside house,Plaster,92.0
summer,Friday,0.0,tap inside house,Brick,150.0
summer,Saturday,0.0,tap inside house,Brick,150.0
summer,Sunday,0.0,tap inside house,Brick,150.0
summer,weekday,0.0,tap inside house,Brick,150.0
winter,weekday,0.0,tap inside house,Brick,150.0
summer,Friday,909.0909090909092,tap in yard,Plaster,102.0
summer,Saturday,909.0909090909092,tap in yard,Plaster,102.0
summer,weekday,909.0909090909092,tap in yard,Plaster,102.0
summer,Saturday,1534.090909090909,tap inside house,Plaster,186.0
summer,weekday,1534.090909090909,tap inside house,Plaster,186.0
winter,Saturday,1534.090909090909,tap inside house,Plaster,186.0
summer,weekday,0.0,tap in yard,Daub/Mud/Clay,15.0
summer,Friday,1534.090909090909,tap inside house,Plaster,207.0
summer,Saturday,1534.090909090909,tap inside house,Plaster,207.0
summer,Sunday,1534.090909090909,tap inside house,Plaster,207.0
summer,weekday,1534.090909090909,tap inside house,Plaster,207.0
winter,Friday,1534.090909090909,tap inside house,Plaster,207.0
winter,Saturday,1534.090909090909,tap inside house,Plaster,207.0
winter,weekday,1534.090909090909,tap inside house,Plaster,207.0
summer,Saturday,9090.90909090909,tap inside house,Plaster,82.0
summer,weekday,9090.90909090909,tap inside house,Plaster,82.0
summer,weekday,18181.81818181818,tap inside house,Plaster,164.0
summer,weekday,18181.81818181818,tap in yard,Plaster,74.0
winter,weekday,18181.81818181818,tap in yard,Plaster,74.0
summer,Friday,25795.454545454544,tap inside house,Brick,282.0
summer,weekday,25795.454545454544,tap inside house,Brick,282.0
summer,weekday,9090.90909090909,tap in yard,Blocks,18.0
summer,Friday,29545.454545454544,tap inside house,Brick,208.0
summer,Saturday,29545.454545454544,tap inside house,Brick,208.0
summer,weekday,29545.454545454544,tap inside house,Brick,208.0
summer,Friday,7954.545454545455,tap in yard,Plaster,25.0
summer,Saturday,7954.545454545455,tap in yard,Plaster,25.0
summer,Sunday,7954.545454545455,tap in yard,Plaster,25.0
summer,weekday,7954.545454545455,tap in yard,Plaster,25.0
summer,Saturday,3977.2727272727284,tap in yard,Plaster,54.0
summer,Sunday,3977.2727272727284,tap in yard,Plaster,54.0
summer,weekday,3977.2727272727284,tap in yard,Plaster,54.0
winter,weekday,3977.2727272727284,tap in yard,Plaster,54.0
summer,Friday,22727.272727272728,tap in yard,Plaster,107.0
summer,Sunday,0.0,tap inside house,Plaster,40.0
summer,weekday,0.0,tap inside house,Plaster,40.0
winter,Friday,0.0,tap inside house,Plaster,40.0
winter,Saturday,0.0,tap inside house,Plaster,40.0
winter,weekday,0.0,tap inside house,Plaster,40.0
summer,Sunday,0.0,tap in yard,Plaster,88.0
summer,weekday,0.0,tap in yard,Plaster,88.0
winter,Friday,0.0,tap in yard,Plaster,88.0
winter,Saturday,0.0,tap in yard,Plaster,88.0
winter,Sunday,0.0,tap in yard,Plaster,88.0
winter,weekday,0.0,tap in yard,Plaster,88.0
summer,Friday,13636.363636363636,tap in yard,Plaster,162.0
summer,Saturday,13636.363636363636,tap in yard,Plaster,162.0
summer,Sunday,13636.363636363636,tap in yard,Plaster,162.0
summer,weekday,13636.363636363636,tap in yard,Plaster,162.0
winter,Friday,13636.363636363636,tap in yard,Plaster,162.0
summer,Friday,8352.272727272728,tap inside house,Brick,129.0
summer,Saturday,8352.272727272728,tap inside house,Brick,129.0
summer,weekday,8352.272727272728,tap inside house,Brick,129.0
winter,Friday,3068.181818181818,tap in yard,Blocks,28.0
winter,Saturday,3068.181818181818,tap in yard,Blocks,28.0
winter,weekday,3068.181818181818,tap in yard,Blocks,28.0
summer,Friday,1534.090909090909,tap inside house,Plaster,120.0
summer,Saturday,1534.090909090909,tap inside house,Plaster,120.0
summer,weekday,1534.090909090909,tap inside house,Plaster,120.0
summer,Friday,3409.090909090909,tap in yard,Plaster,72.0
summer,Saturday,3409.090909090909,tap in yard,Plaster,72.0
summer,Sunday,3409.090909090909,tap in yard,Plaster,72.0
summer,weekday,3409.090909090909,tap in yard,Plaster,72.0
summer,Friday,1534.090909090909,tap in yard,Plaster,89.0
summer,Saturday,1534.090909090909,tap in yard,Plaster,89.0
summer,weekday,1534.090909090909,tap in yard,Plaster,89.0
winter,Saturday,1534.090909090909,tap in yard,Plaster,89.0
winter,weekday,1534.090909090909,tap in yard,Plaster,89.0
summer,weekday,3068.181818181818,tap inside house,Brick,45.0
summer,weekday,5681.818181818182,tap in yard,Plaster,23.0
summer,weekday,0.0,tap inside house,Plaster,125.0
summer,Friday,0.0,tap in yard,Blocks,79.0
summer,Saturday,0.0,tap in yard,Blocks,79.0
summer,weekday,0.0,tap in yard,Blocks,79.0
summer,Friday,5340.909090909091,tap in yard,Brick,49.0
winter,Friday,3977.2727272727284,tap in yard,Plaster,135.0
winter,weekday,3977.2727272727284,tap in yard,Plaster,135.0
summer,Friday,0.0,tap in yard,Brick,56.0
summer,weekday,0.0,tap in yard,Brick,56.0
winter,weekday,0.0,tap in yard,Brick,56.0
summer,Friday,0.0,tap in yard,Blocks,153.0
summer,Saturday,0.0,tap in yard,Blocks,153.0
summer,weekday,0.0,tap in yard,Blocks,153.0
summer,Friday,0.0,tap in yard,Brick,57.0
summer,weekday,0.0,tap in yard,Brick,57.0
winter,Friday,0.0,tap in yard,Brick,57.0
winter,Saturday,0.0,tap in yard,Brick,57.0
winter,weekday,0.0,tap in yard,Brick,57.0
summer,Friday,3068.181818181818,tap in yard,Plaster,173.0
summer,Saturday,3068.181818181818,tap in yard,Plaster,173.0
summer,Sunday,3068.181818181818,tap in yard,Plaster,173.0
summer,weekday,3068.181818181818,tap in yard,Plaster,173.0
summer,Saturday,1022.7272727272727,tap inside house,Plaster,138.0
summer,weekday,1022.7272727272727,tap inside house,Plaster,138.0
winter,weekday,1022.7272727272727,tap inside house,Plaster,138.0
summer,Friday,0.0,tap in yard,Plaster,86.0
summer,weekday,0.0,tap in yard,Plaster,86.0
summer,Saturday,18181.81818181818,tap inside house,Brick,221.0
summer,Friday,11363.636363636364,tap inside house,Brick,182.0
summer,Saturday,11363.636363636364,tap inside house,Brick,182.0
summer,Sunday,11363.636363636364,tap inside house,Brick,182.0
summer,weekday,11363.636363636364,tap inside house,Brick,182.0
summer,Friday,6818.181818181818,tap in yard,Blocks,206.0
summer,weekday,6818.181818181818,tap in yard,Blocks,206.0
summer,weekday,4545.454545454545,tap in yard,Plaster,67.0
summer,Friday,17045.454545454544,tap inside house,Blocks,65.0
summer,Sunday,17045.454545454544,tap inside house,Blocks,65.0
summer,weekday,17045.454545454544,tap inside house,Blocks,65.0
winter,Sunday,17045.454545454544,tap inside house,Blocks,65.0
winter,weekday,17045.454545454544,tap inside house,Blocks,65.0
summer,weekday,0.0,tap inside house,Plaster,163.0
winter,weekday,0.0,tap inside house,Plaster,163.0
summer,weekday,28409.090909090908,tap inside house,Brick,264.0
summer,Sunday,2272.7272727272725,tap in yard,Brick,121.0
summer,Friday,0.0,tap in yard,Blocks,28.0
summer,weekday,0.0,tap in yard,Blocks,28.0
summer,Friday,3068.181818181818,tap in yard,Brick,133.0
summer,Friday,11363.636363636364,tap inside house,Brick,157.0
summer,Saturday,11363.636363636364,tap inside house,Brick,157.0
summer,Sunday,11363.636363636364,tap inside house,Brick,157.0
summer,weekday,11363.636363636364,tap inside house,Brick,157.0
summer,Friday,6818.181818181818,tap inside house,Brick,141.0
winter,Friday,6818.181818181818,tap inside house,Brick,141.0
winter,Saturday,6818.181818181818,tap inside house,Brick,141.0
winter,Sunday,6818.181818181818,tap inside house,Brick,141.0
winter,weekday,6818.181818181818,tap inside house,Brick,141.0
summer,weekday,2840.909090909091,tap inside house,Plaster,179.0
summer,Saturday,6818.181818181818,tap in yard,Blocks,180.0
summer,weekday,6818.181818181818,tap in yard,Blocks,180.0
winter,Saturday,6818.181818181818,tap in yard,Blocks,180.0
winter,Sunday,6818.181818181818,tap in yard,Blocks,180.0
winter,weekday,6818.181818181818,tap in yard,Blocks,180.0
summer,weekday,2840.909090909091,tap in yard,Plaster,187.0
winter,Sunday,2272.7272727272725,tap in yard,Plaster,70.0
summer,weekday,4147.727272727273,tap inside house,Plaster,146.0
summer,Friday,1534.090909090909,tap in yard,Plaster,54.0
summer,Saturday,1534.090909090909,tap in yard,Plaster,54.0
summer,weekday,1534.090909090909,tap in yard,Plaster,54.0
winter,Saturday,1534.090909090909,tap in yard,Plaster,54.0
winter,Sunday,1534.090909090909,tap in yard,Plaster,54.0
winter,weekday,1534.090909090909,tap in yard,Plaster,54.0
summer,Sunday,0.0,tap inside house,Plaster,68.0
summer,weekday,0.0,tap inside house,Plaster,68.0
winter,weekday,0.0,tap inside house,Plaster,68.0
summer,weekday,1534.090909090909,tap inside house,Plaster,136.0
winter,Saturday,9090.90909090909,tap inside house,Plaster,50.0
winter,weekday,9090.90909090909,tap inside house,Plaster,50.0
summer,Friday,1534.090909090909,tap in yard,Plaster,89.0
summer,weekday,1534.090909090909,tap in yard,Plaster,89.0
summer,weekday,0.0,tap in yard,Plaster,96.0
summer,weekday,3125.0,tap in yard,Plaster,42.0
summer,weekday,16477.272727272728,tap in yard,Plaster,54.0
summer,Sunday,5340.909090909091,tap inside house,Plaster,118.0
summer,weekday,5340.909090909091,tap inside house,Plaster,118.0
summer,Friday,0.0,tap in yard,Plaster,42.0
summer,Saturday,0.0,tap in yard,Plaster,42.0
summer,Sunday,0.0,tap in yard,Plaster,42.0
summer,weekday,0.0,tap in yard,Plaster,42.0
summer,Friday,6818.181818181818,tap in yard,Plaster,66.0
summer,Saturday,6818.181818181818,tap in yard,Plaster,66.0
summer,Sunday,6818.181818181818,tap in yard,Plaster,66.0
summer,weekday,6818.181818181818,tap in yard,Plaster,66.0
winter,Friday,6818.181818181818,tap in yard,Plaster,66.0
winter,Saturday,6818.181818181818,tap in yard,Plaster,66.0
winter,weekday,6818.181818181818,tap in yard,Plaster,66.0
summer,Saturday,1818.1818181818185,tap in yard,Daub/Mud/Clay,16.0
summer,Sunday,1818.1818181818185,tap in yard,Daub/Mud/Clay,16.0
summer,weekday,1818.1818181818185,tap in yard,Daub/Mud/Clay,16.0
summer,Friday,2840.909090909091,tap in yard,Plaster,106.0
summer,Saturday,2840.909090909091,tap in yard,Plaster,106.0
summer,Sunday,2840.909090909091,tap in yard,Plaster,106.0
summer,weekday,2840.909090909091,tap in yard,Plaster,106.0
winter,Sunday,2840.909090909091,tap in yard,Plaster,106.0
winter,weekday,2840.909090909091,tap in yard,Plaster,106.0
