season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
summer,Friday,4,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,12,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Friday,3,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,5,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,2,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,4,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,8,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,4,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,62.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Friday,2,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,50.0,19.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,50.0,19.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,5,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,50.0,19.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,6,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,52.0,6.0,1,1,1,0,1,1,1,0,1,0,0,never,daily,daily,never,weekly,daily,daily,never,daily,never,1
