season,daytype,monthly_income,water_access,wall_material,floor_area
summer,Friday,0.0,tap inside house,Brick,55.0
summer,weekday,0.0,tap inside house,Brick,55.0
winter,Friday,0.0,tap inside house,Brick,55.0
winter,weekday,0.0,tap inside house,Brick,55.0
summer,Friday,34090.90909090909,tap inside house,Plaster,115.0
summer,Saturday,34090.90909090909,tap inside house,Plaster,115.0
summer,Sunday,34090.90909090909,tap inside house,Plaster,115.0
summer,weekday,34090.90909090909,tap inside house,Plaster,115.0
winter,weekday,9090.90909090909,tap inside house,Brick,62.0
winter,Friday,9090.90909090909,tap inside house,Brick,50.0
winter,Sunday,9090.90909090909,tap inside house,Brick,50.0
winter,weekday,9090.90909090909,tap inside house,Brick,50.0
summer,Sunday,11363.636363636364,tap inside house,Brick,52.0
winter,Sunday,11363.636363636364,tap inside house,Brick,52.0
summer,weekday,12500.0,tap inside house,Brick,55.0
summer,Friday,25000.0,tap inside house,Brick,57.0
summer,Saturday,25000.0,tap inside house,Brick,57.0
summer,Sunday,25000.0,tap inside house,Brick,57.0
summer,weekday,25000.0,tap inside house,Brick,57.0
winter,Friday,25000.0,tap inside house,Brick,57.0
winter,Sunday,0.0,tap inside house,Brick,130.0
summer,weekday,11363.636363636364,tap inside house,Brick,57.0
winter,Sunday,11363.636363636364,tap inside house,Brick,57.0
summer,Saturday,11363.636363636364,tap inside house,Brick,77.0
summer,Sunday,11363.636363636364,tap inside house,Brick,77.0
summer,weekday,11363.636363636364,tap inside house,Brick,77.0
winter,Saturday,11363.636363636364,tap inside house,Brick,77.0
winter,Sunday,11363.636363636364,tap inside house,Brick,77.0
winter,Saturday,7954.545454545455,tap inside house,Brick,78.0
summer,Sunday,9090.90909090909,tap inside house,Brick,81.0
summer,weekday,9090.90909090909,tap inside house,Brick,81.0
winter,Saturday,9090.90909090909,tap inside house,Brick,81.0
winter,weekday,0.0,tap inside house,Brick,48.0
summer,Friday,1250.0,tap inside house,Brick,63.0
summer,Sunday,1250.0,tap inside house,Brick,63.0
summer,weekday,1250.0,tap inside house,Brick,63.0
summer,Sunday,11931.818181818182,tap inside house,Brick,193.0
summer,Sunday,26534.090909090908,tap inside house,Brick,61.0
winter,Saturday,26534.090909090908,tap inside house,Brick,61.0
winter,Sunday,26534.090909090908,tap inside house,Brick,61.0
summer,Friday,11363.636363636364,tap inside house,Brick,53.0
summer,Saturday,11363.636363636364,tap inside house,Brick,53.0
summer,Sunday,11363.636363636364,tap inside house,Brick,53.0
summer,weekday,11363.636363636364,tap inside house,Brick,53.0
winter,weekday,11363.636363636364,tap inside house,Brick,53.0
summer,weekday,7954.545454545455,tap inside house,Plaster,46.0
summer,Sunday,8636.363636363636,tap inside house,Brick,104.0
winter,weekday,8636.363636363636,tap inside house,Brick,104.0
summer,Saturday,9090.90909090909,tap inside house,Brick,67.0
summer,Sunday,9090.90909090909,tap inside house,Brick,67.0
