season,daytype,monthly_income,water_access,wall_material,floor_area
summer,Friday,0.0-1800.0,tap inside house,Brick,50.0-80.0
summer,weekday,0.0-1800.0,tap inside house,Brick,50.0-80.0
winter,Friday,0.0-1800.0,tap inside house,Brick,50.0-80.0
winter,weekday,0.0-1800.0,tap inside house,Brick,50.0-80.0
summer,Friday,24500.0-65500.0,tap inside house,Plaster,80.0-150.0
summer,Saturday,24500.0-65500.0,tap inside house,Plaster,80.0-150.0
summer,Sunday,24500.0-65500.0,tap inside house,Plaster,80.0-150.0
summer,weekday,24500.0-65500.0,tap inside house,Plaster,80.0-150.0
winter,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Friday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,weekday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,Friday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,Saturday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,Sunday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,weekday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Friday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Sunday,0.0-1800.0,tap inside house,Brick,80.0-150.0
summer,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Saturday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Saturday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,Saturday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,80.0-150.0
summer,weekday,7800.0-11600.0,tap inside house,Brick,80.0-150.0
winter,Saturday,7800.0-11600.0,tap inside house,Brick,80.0-150.0
winter,weekday,0.0-1800.0,tap inside house,Brick,0.0-50.0
summer,Friday,0.0-1800.0,tap inside house,Brick,50.0-80.0
summer,Sunday,0.0-1800.0,tap inside house,Brick,50.0-80.0
summer,weekday,0.0-1800.0,tap inside house,Brick,50.0-80.0
summer,Sunday,11600.0-19116.0,tap inside house,Brick,150.0-250.0
summer,Sunday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Saturday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Sunday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,Friday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Saturday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,weekday,7800.0-11600.0,tap inside house,Plaster,0.0-50.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,80.0-150.0
winter,weekday,7800.0-11600.0,tap inside house,Brick,80.0-150.0
summer,Saturday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
winter,weekday,7800.0-11600.0,tap inside house,Plaster,50.0-80.0
summer,Sunday,0.0-1800.0,tap inside house,Concrete,50.0-80.0
summer,weekday,0.0-1800.0,tap inside house,Concrete,50.0-80.0
winter,weekday,0.0-1800.0,tap inside house,Concrete,50.0-80.0
summer,weekday,19116.0-24500.0,tap inside house,Brick,50.0-80.0
winter,weekday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Sunday,7800.0-11600.0,tap inside house,Brick,0.0-50.0
winter,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Saturday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,weekday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,Sunday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,weekday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,Saturday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Sunday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,weekday,7800.0-11600.0,tap inside house,Brick,50.0-80.0
summer,Saturday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,weekday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,Saturday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,Sunday,3200.0-7800.0,tap inside house,Brick,80.0-150.0
winter,Sunday,3200.0-7800.0,tap inside house,Brick,80.0-150.0
summer,Saturday,11600.0-19116.0,tap inside house,Brick,150.0-250.0
summer,weekday,11600.0-19116.0,tap inside house,Brick,150.0-250.0
winter,Saturday,11600.0-19116.0,tap inside house,Brick,150.0-250.0
summer,Friday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,Saturday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,Sunday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,Saturday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,Sunday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,weekday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
summer,weekday,11600.0-19116.0,tap inside house,Plaster,50.0-80.0
winter,Sunday,11600.0-19116.0,tap inside house,Plaster,50.0-80.0
summer,weekday,7800.0-11600.0,tap inside house,Brick,80.0-150.0
summer,Saturday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,weekday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,Friday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,Saturday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,weekday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Saturday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,Sunday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
winter,weekday,24500.0-65500.0,tap inside house,Brick,50.0-80.0
summer,Sunday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,Sunday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,weekday,11600.0-19116.0,tap inside house,Brick,50.0-80.0
winter,Saturday,24500.0-65500.0,tap inside house,Brick,0.0-50.0
summer,Saturday,3200.0-7800.0,tap inside house,Brick,150.0-250.0
winter,Saturday,3200.0-7800.0,tap inside house,Brick,150.0-250.0
winter,Sunday,3200.0-7800.0,tap inside house,Brick,150.0-250.0
summer,Sunday,3200.0-7800.0,tap inside house,Brick,50.0-80.0
winter,Sunday,3200.0-7800.0,tap inside house,Brick,50.0-80.0
