season,daytype,monthly_income,water_access,wall_material,floor_area
winter,weekday,2840.909090909091,tap in yard,Blocks,53.0
summer,Saturday,34090.90909090909,tap inside house,Plaster,209.0
winter,Sunday,34090.90909090909,tap inside house,Plaster,209.0
summer,Friday,10454.545454545454,tap inside house,Plaster,114.0
summer,Saturday,10454.545454545454,tap inside house,Plaster,114.0
summer,Sunday,10454.545454545454,tap inside house,Plaster,114.0
summer,weekday,10454.545454545454,tap inside house,Plaster,114.0
winter,Friday,10454.545454545454,tap inside house,Plaster,114.0
winter,Saturday,10454.545454545454,tap inside house,Plaster,114.0
winter,weekday,10454.545454545454,tap inside house,Plaster,114.0
summer,Sunday,28409.090909090908,tap inside house,Concrete,54.0
winter,Sunday,10227.272727272728,tap inside house,Plaster,87.0
winter,weekday,10227.272727272728,tap inside house,Plaster,87.0
summer,weekday,13636.363636363636,tap inside house,Plaster,106.0
summer,Friday,4545.454545454545,tap inside house,Plaster,55.0
summer,Saturday,4545.454545454545,tap inside house,Plaster,55.0
summer,Sunday,4545.454545454545,tap inside house,Plaster,55.0
summer,weekday,4545.454545454545,tap inside house,Plaster,55.0
winter,Saturday,4545.454545454545,tap inside house,Plaster,55.0
winter,Sunday,4545.454545454545,tap inside house,Plaster,55.0
winter,weekday,4545.454545454545,tap inside house,Plaster,55.0
summer,Saturday,7954.545454545455,tap inside house,Plaster,53.0
summer,weekday,7954.545454545455,tap inside house,Plaster,53.0
winter,Friday,7954.545454545455,tap inside house,Plaster,53.0
winter,Saturday,7954.545454545455,tap inside house,Plaster,53.0
winter,weekday,7954.545454545455,tap inside house,Plaster,53.0
winter,weekday,11363.636363636364,tap in yard,Plaster,9.0
summer,Saturday,10227.272727272728,tap inside house,Plaster,53.0
summer,Saturday,18181.81818181818,tap inside house,Plaster,53.0
summer,Sunday,18181.81818181818,tap inside house,Plaster,53.0
winter,weekday,2840.909090909091,tap inside house,Plaster,53.0
summer,weekday,22727.272727272728,tap inside house,Brick,146.0
winter,weekday,22727.272727272728,tap inside house,Brick,146.0
winter,Saturday,0.0,tap inside house,Plaster,53.0
summer,Friday,20454.545454545456,tap inside house,Plaster,115.0
summer,Sunday,20454.545454545456,tap inside house,Plaster,115.0
summer,Saturday,54545.454545454544,tap inside house,Plaster,91.0
summer,Sunday,54545.454545454544,tap inside house,Plaster,91.0
winter,Friday,41306.81818181818,tap inside house,Plaster,133.0
winter,Saturday,41306.81818181818,tap inside house,Plaster,133.0
winter,weekday,41306.81818181818,tap inside house,Plaster,133.0
summer,Sunday,22727.272727272728,tap inside house,Plaster,97.0
winter,Saturday,22727.272727272728,tap inside house,Plaster,97.0
winter,Sunday,22727.272727272728,tap inside house,Plaster,97.0
winter,weekday,22727.272727272728,tap inside house,Plaster,97.0
winter,Sunday,0.0,tap in yard,Blocks,44.0
summer,Sunday,1363.6363636363635,tap inside house,Plaster,130.0
winter,Saturday,1363.6363636363635,tap inside house,Plaster,130.0
winter,Sunday,1363.6363636363635,tap inside house,Plaster,130.0
summer,Sunday,4545.454545454545,tap in yard,Blocks,30.0
winter,Sunday,4545.454545454545,tap in yard,Blocks,30.0
summer,Friday,0.0,tap in yard,Blocks,50.0
summer,Sunday,0.0,tap in yard,Blocks,50.0
winter,Sunday,0.0,tap in yard,Blocks,50.0
winter,weekday,0.0,tap in yard,Blocks,50.0
summer,Sunday,0.0,tap in yard,Brick,48.0
winter,Friday,1500.0,tap in yard,IBR/Corr.Iron/Zinc,14.0
winter,Saturday,1500.0,tap in yard,IBR/Corr.Iron/Zinc,14.0
winter,weekday,1500.0,tap in yard,IBR/Corr.Iron/Zinc,14.0
summer,Sunday,6818.181818181818,tap in yard,Plaster,62.0
summer,Sunday,3068.181818181818,tap in yard,Concrete,234.0
summer,Sunday,0.0,tap inside house,Plaster,87.0
winter,Saturday,0.0,tap inside house,Plaster,87.0
winter,weekday,0.0,tap inside house,Plaster,87.0
